propid,zip,appraisal_2017,appraisal_2016,appraisal_2015,appraisal_2014,appraisal_2013
1.652E+13,78746,1057837,1057837,880553,803819,672346
1.67015E+13,78746,652142,623520,553796,512453,438075
1.6629E+13,78746,817607,750777,704538,655417,552006
3.14708E+11,78746,727000,538497,557561,514262,434435
3.54878E+12,78746,688752,639259,564097,520026,417853
3.38026E+12,78746,629671,599707,537936,474474,415901
82497748453,78746,1239031,1244966,1001874,914794,790604
1.6629E+13,78746,1001617,1004311,802215,739578,605992
3.42312E+12,78746,1175041,1198184,1056935,983394,859644
5.24196E+12,78746,617860,604609,549294,507119,410307
5.24196E+12,78746,791200,784107,764686,644747,568408
1.46106E+13,78746,1120684,1219878,1044465,997475,878455
1.6629E+13,78746,1320778,1317515,1174436,1129331,759901
4.44234E+12,78746,669288,638829,574515,530518,434759
3.41645E+12,78746,1210811,1195718,1329161,1258146,1216459
1.67015E+13,78746,692081,669895,614712,560699,473916
1.652E+13,78746,860437,860437,739487,682354,549929
1.6629E+13,78746,1305861,1315062,1057592,958346,896320
1.6629E+13,78746,1158071,995000,845463,767647,697780
4.44324E+12,78746,604202,576967,497161,457820,388367
4.45815E+12,78746,1250674,1242329,1250876,1150741,1063924
4.44325E+12,78746,685997,649997,605996,553996,469370
3.37534E+12,78746,643661,614569,568049,503077,424659
1.53221E+13,78746,1175500,1223660,1092557,1011669,857039
1.6629E+13,78746,1028428,1028428,800485,741557,645620
2.77347E+12,78746,1293542,1266572,1072140,992107,882338
5.24196E+12,78746,1159892,1157227,1027339,990441,618351
5.03151E+11,78746,692876,656140,624309,571245,452691
3.56044E+12,78746,1203728,1233924,1176279,1024302,908914
5.24196E+12,78746,677483,646144,573415,528150,422818
1.67015E+13,78746,718184,678736,654889,597908,478439
4.99895E+11,78746,649804,617683,562264,515865,409786
3.56829E+12,78746,1072208,1069020,1135653,1025728,1000854
3.55324E+12,78746,684634,665761,645988,632301,519286
1.6629E+13,78746,1129116,982944,791812,735613,618231
3.56644E+12,78746,1393556,1428652,1223495,1137882,988000
1.46963E+13,78746,1087373,1103992,871347,818963,695278
5.05558E+12,78746,663115,594440,530809,488439,410294
2.77347E+12,78746,582606,557684,515549,505185,397990
5.24196E+12,78746,770832,705425,711850,623692,625694
4.7612E+12,78746,720991,660541,617252,556910,477982
1.6629E+13,78746,997391,997391,794784,733051,625894
2.77347E+12,78746,1169709,1166390,1271087,1146760,1101421
1.6629E+13,78746,717062,681484,632242,580851,465477
1.40029E+12,78746,693092,686864,663678,618668,510705
1.46106E+13,78746,1018756,1082716,873855,675896,591943
3.5568E+12,78746,584000,583519,501692,462623,385247
1.6629E+13,78746,603764,576575,506632,467359,375469
3.56762E+12,78746,1944498,1937280,1778319,1816852,1141161
4.45754E+12,78746,1232254,1252430,1004878,893084,859219
1.67015E+13,78746,618172,589439,544041,502538,407904
1.6629E+13,78746,716573,681048,642651,591336,484954
4.17049E+12,78746,685956,678890,642962,588728,504309
1.64849E+13,78746,637130,606367,546949,502512,396235
4.7631E+12,78746,667331,635207,572296,525894,423158
4.44162E+12,78746,778114,746633,746013,674583,529000
4.76265E+12,78746,573751,547903,481512,444176,356842
1.52834E+13,78746,605000,582944,538892,494206,391279
3.37442E+12,78746,684500,577400,542000,510071,392316
1.64849E+13,78746,606838,579320,510346,470598,405317
1.42666E+13,78746,925552,923562,941712,725000,738685
1.6629E+13,78746,1045728,1078902,1050464,922628,841667
1.64849E+13,78746,616804,588218,522388,481097,385654
1.64849E+13,78746,618084,600000,485219,425000,375794
3.54819E+12,78746,611863,583807,516418,475892,354188
4.16657E+12,78746,1365632,1361204,1508752,1366261,1298676
1.6629E+13,78746,1146242,1180343,1159140,1134968,1027472
2.04581E+13,78746,1124216,1121703,1106708,1060000,1067245
1.40029E+12,78746,843303,792324,652693,639639,536399
3.39331E+12,78746,775982,726591,715075,617512,464709
3.55989E+12,78746,893995,883873,869813,827604,735775
1.6629E+13,78746,671058,636659,597945,548258,436832
1.6629E+13,78746,1478694,1462382,951448,869025,770206
1.6629E+13,78746,960079,1012982,984094,952200,874411
1.6629E+13,78746,882410,876037,878201,756228,696763
1.67784E+13,78746,3463662,3493795,3250297,1793500,803682
4.76266E+12,78746,514028,510931,490000,432000,331748
