,propid,zip,appraisal_2017,appraisal_2016,appraisal_2015,appraisal_2014,appraisal_2013
311,16632600000000.0,78702,382446,345197,331236,283950,186032
312,171740000000.0,78702,337469,284417,278149,235833,150401
313,16515400000000.0,78702,403294,373370,356700,307031,192324
314,16678800000000.0,78702,437005,422032,400411,345160,238301
315,16515400000000.0,78702,412034,385181,367377,316707,200151
316,16678700000000.0,78702,275002,359153,347385,306632,191771
317,16707200000000.0,78702,402404,372167,355615,306046,227295
318,4441250000000.0,78702,428329,429068,394720,352662,230749
319,16515400000000.0,78702,339209,256769,248427,211334,107421
320,4171600000000.0,78702,363850,333496,295000,295000,255504
321,15849900000000.0,78702,323851,266015,251712,211871,137147
322,2777290000000.0,78702,693125,674747,503808,364555,162954
323,16515400000000.0,78702,406131,377204,360077,310091,200023
324,16515400000000.0,78702,335020,281108,273308,231445,137590
325,14338600000000.0,78702,399094,387731,366662,316060,209753
326,15059700000000.0,78702,422181,392675,374149,322846,199092
327,16515400000000.0,78702,225927,227960,223658,189089,65882
328,14417600000000.0,78702,349795,334210,310282,284044,214341
329,16678700000000.0,78702,508051,424226,348257,234462,165966
330,15059500000000.0,78702,576547,599822,520988,452356,337393
331,526070000000.0,78702,402941,372893,356268,306639,223354
332,3374440000000.0,78702,503050,508175,451738,463368,300198
333,875903000000.0,78702,326784,312530,298287,265481,233288
334,16678800000000.0,78702,367685,325250,313207,267608,164447
335,16632600000000.0,78702,363951,345767,325282,331227,222940
336,5326930000000.0,78702,387558,352106,337480,289609,174150
337,82751248453.0,78702,356490,280121,269532,230464,131142
338,5326930000000.0,78702,655000,902615,593200,330000,199466
339,16707200000000.0,78702,465593,473243,383234,339555,225734
340,5326930000000.0,78702,437480,369524,353225,303880,187583
341,4764250000000.0,78702,476687,472550,446343,388282,254679
342,16707200000000.0,78702,306479,268283,260983,222715,162275
343,3548110000000.0,78702,363664,343273,320870,326760,243087
344,2173860000000.0,78702,362601,339905,326454,279615,199763
345,4446210000000.0,78702,370720,329351,316913,270968,192024
346,16678800000000.0,78702,394387,361334,345822,297171,197957
347,16678700000000.0,78702,411053,383855,366176,315619,191428
348,5423450000000.0,78702,363809,321856,314294,266966,206312
349,16678700000000.0,78702,367021,324353,312398,266876,168839
350,4778050000000.0,78702,355820,341103,316776,320519,237115
351,16678700000000.0,78702,451702,382470,357500,263104,182811
352,5067050000000.0,78702,414585,390152,351892,316149,199043
353,16632600000000.0,78702,327761,302348,294747,250877,179055
354,16632700000000.0,78702,302155,262439,253545,215974,101392
355,14612200000000.0,78702,324071,255131,252125,195661,155338
356,4783560000000.0,78702,344453,263855,254830,217139,133072
357,16749900000000.0,78702,656614,721553,534028,490277,362143
358,16632600000000.0,78702,330612,306973,286217,290797,228201
359,14609200000000.0,78702,678595,590696,486600,466407,137556
360,3406440000000.0,78702,376323,336923,323758,277172,184525
361,3384880000000.0,78702,460044,450059,426018,369859,229359
362,16632700000000.0,78702,462432,459245,366077,325009,229113
363,82750148453.0,78702,365844,350027,329290,333201,221497
364,16678700000000.0,78702,229638,202817,165791,134886,100459
365,3461370000000.0,78702,356700,334839,331706,253661,162780
366,1159030000000.0,78702,431219,614963,563622,637169,459317
367,4175060000000.0,78702,362858,346662,326036,329873,243475
368,16632600000000.0,78702,390664,356303,341273,293047,189681
369,16632700000000.0,78702,283853,237707,232682,197063,87054
370,2777280000000.0,78702,363860,320081,308535,263374,182755
371,3405140000000.0,78702,398266,366575,316053,268528,203991
372,16632600000000.0,78702,363655,343263,320859,326749,243077
373,16632600000000.0,78702,370895,326499,308003,314227,238684
374,16632600000000.0,78702,373157,332645,322797,276301,177138
375,2777280000000.0,78702,468575,399103,397705,294657,189970
376,16678700000000.0,78702,261314,234613,216255,232391,153525
377,3559200000000.0,78702,756093,588000,588000,497151,337974
378,16632600000000.0,78702,383494,346613,332519,285113,185051
379,15272800000000.0,78702,455157,446225,357694,318566,221337
380,3548180000000.0,78702,409079,320651,278133,238560,147774
381,16632700000000.0,78702,387323,351788,337191,289347,186592
382,5326930000000.0,78702,497926,383681,370046,319127,210984
383,16632600000000.0,78702,369300,304963,285879,280321,225951
384,4192930000000.0,78702,485287,408704,368343,299765,181700
385,4160230000000.0,78702,406200,377297,360251,310249,244010
386,16632600000000.0,78702,417543,299315,286880,246188,176042
387,16632600000000.0,78702,312020,280355,285836,242800,172626
388,16632600000000.0,78702,379300,360445,337264,343776,265265
389,14610300000000.0,78702,423294,400397,381131,329174,259906
390,5326930000000.0,78702,404124,379277,344177,299075,188288
391,16678800000000.0,78702,429650,378986,358893,311459,195004
392,16632600000000.0,78702,1028173,1054895,200002,187793,176569
393,5423450000000.0,78702,431523,375869,356129,289867,188735
394,16632700000000.0,78702,955957,343656,247000,212054,142650
395,4784370000000.0,78702,584498,284663,370055,319135,212284
396,16707200000000.0,78702,367998,325673,313590,267956,174289
397,16632600000000.0,78702,332123,247193,241461,205021,108140
398,16632600000000.0,78702,363545,319655,310772,265402,194587
399,5423450000000.0,78702,440094,502547,396591,352279,243669
400,4173240000000.0,78702,281643,258585,238752,261970,175188
401,5323950000000.0,78702,385778,349700,335308,287641,187743
402,16632600000000.0,78702,355619,308945,298472,254253,181785
403,14892400000000.0,78702,367725,295304,250001,242905,131530
404,16678800000000.0,78702,385931,319907,305494,263059,187057
405,16632600000000.0,78702,309000,328109,296021,268083,170599
406,3567310000000.0,78702,376285,306872,293711,252380,199098
407,733254000000.0,78702,350379,328683,306945,312307,251907
408,2777280000000.0,78702,323618,312891,296935,250803,232647
409,16632600000000.0,78702,412264,385423,359743,365854,295648
410,16632600000000.0,78702,358965,313466,302556,257955,164803
411,5423450000000.0,78702,375321,300193,334277,280716,187770
412,14757800000000.0,78702,355933,334782,312765,318347,246936
413,16707200000000.0,78702,494095,305408,295274,251354,160546
414,16707200000000.0,78702,383076,346049,332009,284041,206096
415,5423450000000.0,78702,506429,495580,469086,407267,336355
416,14180800000000.0,78702,378410,309743,296308,254733,141579
417,16632600000000.0,78702,432043,444869,417389,362038,235574
418,733694000000.0,78702,315940,325597,296035,337287,240260
419,3460110000000.0,78702,431785,351906,330301,290046,274536
420,16515400000000.0,78702,374760,364981,359979,322125,228168
421,16678700000000.0,78702,295711,275174,254320,282440,184232
422,14757800000000.0,78702,356113,337043,316844,322475,244836
