propid,zip,appraisal_2017,appraisal_2016,appraisal_2015,appraisal_2014,appraisal_2013
1.66326E+13,78702,312020,280355,285836,242800,172626
1.66326E+13,78702,379300,360445,337264,343776,265265
1.46103E+13,78702,423294,400397,381131,329174,259906
5.32693E+12,78702,404124,379277,344177,299075,188288
1.66788E+13,78702,429650,378986,358893,311459,195004
1.66326E+13,78702,1028173,1054895,200002,187793,176569
5.42345E+12,78702,431523,375869,356129,289867,188735
1.66327E+13,78702,955957,343656,247000,212054,142650
4.78437E+12,78702,584498,284663,370055,319135,212284
1.67072E+13,78702,367998,325673,313590,267956,174289
1.66326E+13,78702,332123,247193,241461,205021,108140
1.66326E+13,78702,363545,319655,310772,265402,194587
5.42345E+12,78702,440094,502547,396591,352279,243669
4.17324E+12,78702,281643,258585,238752,261970,175188
5.32395E+12,78702,385778,349700,335308,287641,187743
1.66326E+13,78702,355619,308945,298472,254253,181785
1.48924E+13,78702,367725,295304,250001,242905,131530
1.66788E+13,78702,385931,319907,305494,263059,187057
1.66326E+13,78702,309000,328109,296021,268083,170599
3.56731E+12,78702,376285,306872,293711,252380,199098
7.33254E+11,78702,350379,328683,306945,312307,251907
2.77728E+12,78702,323618,312891,296935,250803,232647
1.66326E+13,78702,412264,385423,359743,365854,295648
1.66326E+13,78702,358965,313466,302556,257955,164803
5.42345E+12,78702,375321,300193,334277,280716,187770
1.47578E+13,78702,355933,334782,312765,318347,246936
1.67072E+13,78702,494095,305408,295274,251354,160546
1.67072E+13,78702,383076,346049,332009,284041,206096
5.42345E+12,78702,506429,495580,469086,407267,336355
1.41808E+13,78702,378410,309743,296308,254733,141579
1.66326E+13,78702,432043,444869,417389,362038,235574
7.33694E+11,78702,315940,325597,296035,337287,240260
3.46011E+12,78702,431785,351906,330301,290046,274536
1.65154E+13,78702,374760,364981,359979,322125,228168
1.66787E+13,78702,295711,275174,254320,282440,184232
1.47578E+13,78702,356113,337043,316844,322475,244836
1.66326E+13,78702,324499,305271,283018,285926,200022
1.66022E+13,78702,297174,286244,279841,237367,144343
1.66326E+13,78702,393148,372335,350063,356315,273628
1.66326E+13,78702,356061,336984,301642,242500,261277
1.45941E+13,78702,275000,200000,200000,196522,131002
1.66022E+13,78702,475712,471179,444607,387055,251235
5.08942E+12,78702,275000,324824,292822,276614,196400
1.66326E+13,78702,982000,758420,200002,278770,181072
1.65154E+13,78702,469303,446852,423118,367231,243115
1.65154E+13,78702,408731,380717,375526,324094,205396
1.65154E+13,78702,394791,417047,396178,342812,201605
4.76686E+12,78702,398893,372016,350000,287372,188387
3.46182E+12,78702,588185,265323,200000,291394,225987
1.66327E+13,78702,261418,241920,217000,248227,171330
1.66326E+13,78702,313000,335348,313300,318902,237273
1.66326E+13,78702,443776,428075,406142,351844,274062
1.65154E+13,78702,458924,450582,376339,334896,236291
1.66327E+13,78702,472342,466679,441042,383476,222060
1.15907E+12,78702,435882,448461,361807,295028,221936
1.66327E+13,78702,490522,450037,425000,373783,255319
1.65154E+13,78702,376594,337289,324089,277473,192173
4.76961E+12,78702,529588,526876,490532,426705,234929
3.36744E+12,78702,369998,336115,335300,336818,200000
4.14902E+12,78702,383188,359103,335300,341113,267447
1.46122E+13,78702,359346,340639,320322,326083,225072
4.46399E+12,78702,328848,303260,288590,227359,200000
1.66022E+13,78702,314585,253493,249524,212789,130161
